word,pos,definition,example
suno,NOUN,"sun; light, brightness, glow, radiance, shine; light source",
supa,NOUN,"horizontal surface, thing to put or rest something on",
suwi,ADJECTIVE,"sweet, fragrant; cute, innocent, adorable",
tan,PREPOSITION,"by, from, because of",
taso,PARTICLE,"but, however",
taso,ADJECTIVE,only,
tawa,PREPOSITION,"going to, toward; for; from the perspective of",
tawa,ADJECTIVE,moving,
telo,NOUN,"water, liquid, fluid, wet substance; beverage",
tenpo,NOUN,"time, duration, moment, occasion, period, situation",
toki,VERB,"to communicate, say, speak, say, talk, use language, think; hello, hi ",
tomo,NOUN,"indoor space; building, home, house, room",
tu,NUMBER,two,
unpa,VERB,to have sexual or marital relations with,
uta,NOUN,"mouth, lips, oral cavity, jaw",
utala,VERB,"to battle, challenge, compete against, struggle against",
walo,ADJECTIVE,"white, whitish; light-coloured, pale",
wan,ADJECTIVE,"unique, united",
wan,NUMBER,one,
waso,NOUN,"bird, flying creature, winged animal",
wawa,ADJECTIVE,"strong, powerful; confident, sure; energetic, intense",
weka,ADJECTIVE,"absent, away, ignored",
wile,PRE-VERB,"must, need, require, should, want, wish",
ma Amelika,PROPERNOUN,Americas,
ma Antasika,PROPERNOUN,Antarctica,
ma Apika,PROPERNOUN,Africa,
ma Asija,PROPERNOUN,Asia,
ma Elopa,PROPERNOUN,Europe,
ma Osejanija,PROPERNOUN,Oceania,
ma Ankola,PROPERNOUN,Angola,
ma Eliteja,PROPERNOUN,Eritrea,
ma Isijopija,PROPERNOUN,Ethiopia,
ma Kamelun,PROPERNOUN,Cameroon,
ma Kana,PROPERNOUN,Ghana,
ma Kanpija,PROPERNOUN,Gambia,
ma Kapon,PROPERNOUN,Gabon,
ma Kenja,PROPERNOUN,Kenya,
ma Kilipasi,PROPERNOUN,Kiribati,
ma Kine,PROPERNOUN,Guinea,
ma Kinejekatolija,PROPERNOUN,Equatorial Guinea,
ma Kinepisa,PROPERNOUN,Guinea-Bissau,
ma Komo,PROPERNOUN,Comoros,
ma Konko,PROPERNOUN,Congo,
ma Kosiwa,PROPERNOUN,Côte d’Ivoire,
ma Lapewija,PROPERNOUN,Liberia,
ma Lesoto,PROPERNOUN,Lesotho,
ma Lipija,PROPERNOUN,Libya,
ma Luwanta,PROPERNOUN,Rwanda,
ma Malakasi,PROPERNOUN,Madagascar,
ma Malawi,PROPERNOUN,Malawi,
ma Mali,PROPERNOUN,Mali,
ma Malipe,PROPERNOUN,Morocco,
ma Masu,PROPERNOUN,Egypt,
ma Mosanpi,PROPERNOUN,Mozambique,
ma Mowisi,PROPERNOUN,Mauritius,
ma Mulitanija,PROPERNOUN,Mauritania,
ma Namipija,PROPERNOUN,Namibia,
ma Naselija,PROPERNOUN,Nigeria,
ma Nise,PROPERNOUN,Niger,
ma Penen,PROPERNOUN,Benin,
ma Posuwana,PROPERNOUN,Botswana,
ma Pukinapaso,PROPERNOUN,Burkina Faso,
ma Sanpija,PROPERNOUN,Zambia,
ma Santapiken,PROPERNOUN,Central African Republic,
ma Sasali,PROPERNOUN,Algeria,
ma Sate,PROPERNOUN,Chad,
ma Sawasi,PROPERNOUN,Swaziland,
ma Seneka,PROPERNOUN,Senegal,
ma Setapika,PROPERNOUN,South Africa,
ma Sijelalijon,PROPERNOUN,Sierra Leone,
ma Sinpapuwe,PROPERNOUN,Zimbabwe,
ma Sipusi,PROPERNOUN,Djibouti,
ma Somalija,PROPERNOUN,Somalia,
ma Sutan,PROPERNOUN,Sudan,
ma Tansanija,PROPERNOUN,Tanzania,
ma Toko,PROPERNOUN,Togo,
ma Tunisi,PROPERNOUN,Tunisia,
ma Ukanta,PROPERNOUN,Uganda,
ma Alensina,PROPERNOUN,Argentina,
ma Awisi,PROPERNOUN,Haiti,
ma Ekato,PROPERNOUN,Ecuador,
ma Kalalinuna,PROPERNOUN,Greenland,
ma Kanata,PROPERNOUN,Canada,
ma Katemala,PROPERNOUN,Guatemala,
ma Kenata,PROPERNOUN,Grenada,
ma Kosalika,PROPERNOUN,Costa Rica,
ma Kupa,PROPERNOUN,Cuba,
ma Mesiko,PROPERNOUN,Mexico,
ma Mewika,PROPERNOUN,United States,
ma Ontula,PROPERNOUN,Honduras,
ma Palakawi,PROPERNOUN,Paraguay,
ma Panama,PROPERNOUN,Panama,
ma Papeto,PROPERNOUN,Barbados,
ma Pasila,PROPERNOUN,Brasil,
ma Pawama,PROPERNOUN,Bahamas,
ma Pelu,PROPERNOUN,Peru,
ma Pemuta,PROPERNOUN,Bermuda,
ma Penesuwela,PROPERNOUN,Venezuela,
ma Sameka,PROPERNOUN,Jamaica,
ma Sile,PROPERNOUN,Chile,
ma Sinita,PROPERNOUN,Trinidad and Tobago,
ma Tominika,PROPERNOUN,Dominican Republic,
ma Ulukawi,PROPERNOUN,Uruguay,
ma Aja,PROPERNOUN,Armenia,
ma Akanisan,PROPERNOUN,Afghanistan,
ma Anku,PROPERNOUN,South Korea,
ma Ilakija,PROPERNOUN,Iraq,
ma Ilan,PROPERNOUN,Iran,
ma Intonesija,PROPERNOUN,Indonesia,
ma Isale,PROPERNOUN,Israel,
ma Jamanija,PROPERNOUN,Yemen,
ma Kanpusi,PROPERNOUN,Cambodia,
ma Katelo,PROPERNOUN,Georgia,
ma Kuli,PROPERNOUN,Kurdistan,
ma Kusala,PROPERNOUN,Gujarat,
ma Kuwasi,PROPERNOUN,Kuwait,
ma Lanka,PROPERNOUN,Sri Lanka,
ma Losi,PROPERNOUN,Russia,
ma Lunpan,PROPERNOUN,Lebanon,
ma Malasija,PROPERNOUN,Malaysia,
ma Masu,PROPERNOUN,Egypt,
ma Mijama,PROPERNOUN,Myanmar,
ma Nijon,PROPERNOUN,Japan,
ma Pakisan,PROPERNOUN,Pakistan,
ma Palani,PROPERNOUN,Bahrain,
ma Palata,PROPERNOUN,India,
ma Panla,PROPERNOUN,Bangladesh,
ma Pilipina,PROPERNOUN,Philippines,
ma Pilisin,PROPERNOUN,Palestine,
ma Po,PROPERNOUN,Tibet,
ma Sawusi,PROPERNOUN,Saudi Arabia,
ma Sonko,PROPERNOUN,China,
ma Sulija,PROPERNOUN,Syria,
ma Tawi,PROPERNOUN,Thailand,
ma Tuki,PROPERNOUN,Turkey,
ma Uman,PROPERNOUN,Oman,
ma Utun,PROPERNOUN,Jordan,
ma Wije,PROPERNOUN,Vietnam,
ma Alan,PROPERNOUN,Ireland,
ma Antola,PROPERNOUN,Andorra,
ma Elena,PROPERNOUN,Greece,
ma Epanja,PROPERNOUN,Spain,
ma Esalasi,PROPERNOUN,Austria,
ma Esi,PROPERNOUN,Estonia,
ma Esuka,PROPERNOUN,Basque Country,
ma Inli,PROPERNOUN,England,
ma Isilan,PROPERNOUN,Iceland,
ma Italija,PROPERNOUN,Italy,
ma Juke,PROPERNOUN,United Kingdom,
ma Kalalinuna,PROPERNOUN,Greenland,
ma Kanse,PROPERNOUN,France,
ma Katala,PROPERNOUN,Catalan Countries,
ma Katelo,PROPERNOUN,Georgia,
ma Kinla,PROPERNOUN,Wales,
ma Kiposi,PROPERNOUN,Cyprus,
ma Lawi,PROPERNOUN,Latvia,
ma Lijatuwa,PROPERNOUN,Lithuania,
ma Lisensan,PROPERNOUN,Liechtenstein,
ma Lomani,PROPERNOUN,Romania,
ma Losi,PROPERNOUN,Russia,
ma Lowasi,PROPERNOUN,Croatia,
ma Lowenki,PROPERNOUN,Slovakia,
ma Lowensina,PROPERNOUN,Slovenia,
ma Lusepu,PROPERNOUN,Luxembourg,
ma Maketonija,PROPERNOUN,Macedonia,
ma Mosijo,PROPERNOUN,Hungary,
ma Motowa,PROPERNOUN,Moldova,
ma Netelan,PROPERNOUN,Netherlands,
ma Nosiki,PROPERNOUN,Norway,
ma Pelalusi,PROPERNOUN,Belarus,
ma Pesije,PROPERNOUN,Belgium,
ma Peson,PROPERNOUN,Brittany,
ma Pokasi,PROPERNOUN,Bulgaria,
ma Posan,PROPERNOUN,Bosnia,
ma Posuka,PROPERNOUN,Poland,
ma Potuke,PROPERNOUN,Portugal,
ma Samalino,PROPERNOUN,San Marino,
ma Seki,PROPERNOUN,Czech Republic,
ma Sipe,PROPERNOUN,Albania,
ma Sopisi,PROPERNOUN,Serbia,
ma Sukosi,PROPERNOUN,Scotland,
ma Sumi,PROPERNOUN,Finland,
ma Suwasi,PROPERNOUN,Switzerland,
ma Tansi,PROPERNOUN,Denmark,
ma Tosi,PROPERNOUN,Germany,
ma Tuki,PROPERNOUN,Turkey,
ma Ukawina,PROPERNOUN,Ukraine,
ma Wasikano,PROPERNOUN,Vatican,
ma Wensa,PROPERNOUN,Sweden,
ma Intonesija,PROPERNOUN,Indonesia,
ma Nusilan,PROPERNOUN,New Zealand,
ma Oselija,PROPERNOUN,Australia,
ma Papuwanijukini,PROPERNOUN,Papua New Guinea,
ma Pisi,PROPERNOUN,Fiji,
ma Samowa,PROPERNOUN,Samoa,
ma Tona,PROPERNOUN,Tonga,
ma Tuwalu,PROPERNOUN,Tuvalu,
ma Wanuwatu,PROPERNOUN,Vanuatu,
jan pona ,NOUN,friend,
jan pakala,NOUN,"an injured person, victim",
ilo moku,NOUN,"eating utensil, fork, spoon",
jan utala,NOUN,soldier ,
pona lukin,ADJECTIVE,"pretty, good-looking",
jan ike ,NOUN,enemy ,
jan lawa,NOUN,leader,
jan lili,NOUN,child,
jan sewi ,NOUN,god ,
jan suli,NOUN,adult,
jan unpa ,NOUN,lover,
ma telo,NOUN,"mud, swamp",
ma tomo,NOUN,"city, town ",
mi mute,NOUN,"We, us ",
ona mute,NOUN,they/them ,
telo nasa,NOUN,"alcohol, beer, wine ",
tomo telo ,NOUN,restroom,
ilo suno,NOUN,flashlight ,
telo suli,NOUN,"ocean, lake, etc. ",
tomo tawa,NOUN,car,
tomo tawa telo ,NOUN,"boat, ship ",
tomo tawa kon ,NOUN,"airplane, helicopter ",
jan sama,NOUN,sibling ,
tawa musi ,VERB,dance ,
a a a ,NOUN,laughter,
supa lape ,NOUN,bed,
unpa lukin,ADJECTIVE,sexy ,
